tag,count,zh_name,confidence,note
white_sports_bra,3268,白色运动bra,medium,自动拆词；需校对未知片段: bra
dot_mouth,3260,点嘴,medium,自动拆词组合，建议校对语序
police_hat,3258,police帽子,medium,自动拆词；需校对未知片段: police
cellphone_photo,3254,cellphonephoto,low,"自动拆词；需校对未知片段: cellphone, photo"
diagonal-striped_bow,3254,对角条纹蝴蝶结,medium,自动拆词组合，建议校对语序
blue_fur,3248,蓝色毛皮,medium,自动拆词组合，建议校对语序
covering_own_eyes,3244,遮住自己的眼睛,medium,自动拆词组合，建议校对语序
heart-shaped_pillow,3240,心形形枕头,medium,自动拆词组合，建议校对语序
small_penis,3239,小阴茎,medium,自动拆词组合，建议校对语序
hugging_doll,3239,抱着doll,medium,自动拆词；需校对未知片段: doll
unworn_helmet,3239,未穿戴头盔,medium,自动拆词组合，建议校对语序
multi-strapped_bikini_bottom,3239,multistrapped比基尼下装,low,"自动拆词；需校对未知片段: multi, strapped"
energy_wings,3236,能量翅膀,medium,自动拆词组合，建议校对语序
multicolored_swimsuit,3233,多色泳装,medium,自动拆词组合，建议校对语序
hand_on_another's_thigh,3230,手在他人的大腿,medium,自动拆词组合，建议校对语序
covered_abs,3220,覆盖abs,medium,自动拆词；需校对未知片段: abs
blue_overalls,3219,蓝色overalls,medium,自动拆词；需校对未知片段: overalls
head-mounted_display,3209,头mounteddisplay,low,"自动拆词；需校对未知片段: mounted, display"
beard_stubble,3201,胡子胡茬,medium,自动拆词组合，建议校对语序
jirai_kei,3185,jiraikei,low,"自动拆词；需校对未知片段: jirai, kei"
black_corset,3183,黑色corset,medium,自动拆词；需校对未知片段: corset
jackal_ears,3174,jackal耳朵,medium,自动拆词；需校对未知片段: jackal
bento,3172,bento,low,自动拆词；需校对未知片段: bento
evolutionary_line,3172,evolutionaryline,low,"自动拆词；需校对未知片段: evolutionary, line"
hand_grab,3171,手抓住,medium,自动拆词组合，建议校对语序
gae_bolg_(fate),3164,gaebolg（fate）,low,"自动拆词；需校对未知片段: gae, bolg"
high_side_ponytail,3160,high侧边ponytail,low,"自动拆词；需校对未知片段: high, ponytail"
red_socks,3156,红色袜子,medium,自动拆词组合，建议校对语序
blue_lips,3156,蓝色嘴唇,medium,自动拆词组合，建议校对语序
feather_trim,3144,羽毛trim,medium,自动拆词；需校对未知片段: trim
turtle_shell,3136,龟壳,medium,自动拆词组合，建议校对语序
shoulder_spikes,3122,肩spikes,medium,自动拆词；需校对未知片段: spikes
o-ring_choker,3118,o泳圈项圈,medium,自动拆词；需校对未知片段: o
scar_on_forehead,3115,伤疤在额头,medium,自动拆词组合，建议校对语序
shared_clothes,3112,共享服装,medium,自动拆词组合，建议校对语序
holding_leash,3108,拿着牵绳,medium,自动拆词组合，建议校对语序
gekkoukan_high_school_uniform,3108,gekkoukanhigh学校制服,low,"自动拆词；需校对未知片段: gekkoukan, high"
chinese_knot,3099,chineseknot,low,"自动拆词；需校对未知片段: chinese, knot"
diamond-shaped_pupils,3095,菱形形瞳孔,medium,自动拆词组合，建议校对语序
instant_loss,3082,instantloss,low,"自动拆词；需校对未知片段: instant, loss"
holding_hammer,3080,拿着hammer,medium,自动拆词；需校对未知片段: hammer
unworn_shirt,3080,未穿戴衬衫,medium,自动拆词组合，建议校对语序
cum_on_male,3076,精液在男性,medium,自动拆词组合，建议校对语序
torn_cape,3073,破损披肩,medium,自动拆词组合，建议校对语序
cooperative_fellatio,3063,cooperative口交,medium,自动拆词；需校对未知片段: cooperative
matching_outfits,3060,matchingoutfits,low,"自动拆词；需校对未知片段: matching, outfits"
red_armband,3055,红色臂章,medium,自动拆词组合，建议校对语序
flame-tipped_tail,3052,flametipped尾巴,low,"自动拆词；需校对未知片段: flame, tipped"
strapless_shirt,3050,strapless衬衫,medium,自动拆词；需校对未知片段: strapless
turning_head,3047,转动头,medium,自动拆词组合，建议校对语序
tiger_boy,3047,老虎男孩,medium,自动拆词组合，建议校对语序
hair_horns,3046,头发角,medium,自动拆词组合，建议校对语序
pawpads,3045,pawpads,low,自动拆词；需校对未知片段: pawpads
shimakaze_(kancolle)_(cosplay),3039,shimakaze(kancolle)（cosplay）,low,"自动拆词；需校对未知片段: shimakaze, (kancolle)"
patterned_background,3030,patterned背景,medium,自动拆词；需校对未知片段: patterned
asticassia_school_uniform,3024,asticassia学校制服,medium,自动拆词；需校对未知片段: asticassia
skin_fangs,3018,皮肤fangs,medium,自动拆词；需校对未知片段: fangs
deer_ears,3015,鹿耳朵,medium,自动拆词组合，建议校对语序
uneven_gloves,3013,不均匀手套,medium,自动拆词组合，建议校对语序
club_(weapon),3010,棍棒（武器）,medium,自动拆词组合，建议校对语序
medium_dress,3008,媒介连衣裙,medium,自动拆词组合，建议校对语序
looking_over_eyewear,3004,看着覆在眼镜,medium,自动拆词组合，建议校对语序
foot_up,2995,脚变大,medium,自动拆词组合，建议校对语序
flower_wreath,2990,花wreath,medium,自动拆词；需校对未知片段: wreath
clothes_in_mouth,2989,服装在嘴,medium,自动拆词组合，建议校对语序
blue_apron,2982,蓝色围裙,medium,自动拆词组合，建议校对语序
chest_belt,2982,胸部腰带,medium,自动拆词组合，建议校对语序
year_of_the_tiger,2982,年老虎,medium,自动拆词组合，建议校对语序
year_of_the_rabbit,2972,年兔子,medium,自动拆词组合，建议校对语序
feather_earrings,2962,羽毛耳环,medium,自动拆词组合，建议校对语序
santa_bikini,2956,santa比基尼,medium,自动拆词；需校对未知片段: santa
brown_sweater_vest,2952,棕色毛衣背心,medium,自动拆词组合，建议校对语序
